"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.423798342E2,1.552258301E1,4.190973663E1,2.141287994E1
4.423897922E2,1.536460114E1,4.190472412E1,2.131703949E1
4.423997502E2,1.542126465E1,4.203098297E1,2.150581360E1
4.424097072E2,1.562326050E1,4.214757538E1,2.093839264E1
4.424196652E2,1.561856842E1,4.207241821E1,2.119213867E1
4.424296232E2,1.557498169E1,4.201024628E1,2.116413116E1
4.424395812E2,1.544548798E1,4.219361115E1,2.146242523E1
4.424495382E2,1.567164612E1,4.202596283E1,2.125284576E1
4.424594962E2,1.559523010E1,4.222516632E1,2.116191101E1
4.424694542E2,1.557550049E1,4.220020294E1,2.123785400E1
4.424794112E2,1.561428070E1,4.204875183E1,2.128564453E1
4.424893692E2,1.545655823E1,4.206983948E1,2.127951050E1
4.424993272E2,1.553616333E1,4.194578552E1,2.120280457E1
4.425092852E2,1.537813568E1,4.200758362E1,2.097448730E1
4.425192422E2,1.550828552E1,4.179206085E1,2.106535339E1
4.425292002E2,1.560218811E1,4.176831055E1,2.110825348E1
4.425391582E2,1.540561676E1,4.177756500E1,2.115185547E1
4.425491162E2,1.530628204E1,4.179701996E1,2.109095764E1
4.425590732E2,1.519174194E1,4.185438538E1,2.086829376E1
4.425690312E2,1.532666779E1,4.186849213E1,2.087869263E1
4.425789892E2,1.548420715E1,4.200685120E1,2.114656067E1
4.425889472E2,1.530606079E1,4.207904053E1,2.126418304E1
4.425989042E2,1.540048981E1,4.191244507E1,2.160243988E1
4.426088622E2,1.517572784E1,4.193169403E1,2.116252899E1
4.426188202E2,1.504235840E1,4.198984528E1,2.107588196E1
4.426287782E2,1.530804443E1,4.192753601E1,2.116474915E1
4.426387352E2,1.543951416E1,4.216683960E1,2.081217194E1
4.426486932E2,1.559893799E1,4.201736450E1,2.085264587E1
4.426586512E2,1.560716248E1,4.185496521E1,2.117040253E1
4.426686092E2,1.555963135E1,4.182636261E1,2.111763000E1
4.426785662E2,1.568229675E1,4.196243286E1,2.096515656E1
