"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.129357167E0,5.943743885E-2,-2.230406925E-2,6.918283179E-3
1.139312167E0,6.431160122E-2,-2.102184668E-2,8.571416140E-3
1.149266167E0,6.234006211E-2,-2.166100591E-2,8.473411202E-3
1.159220167E0,5.832172558E-2,-1.677285135E-2,1.131707150E-2
1.169175167E0,5.126408115E-2,-1.418053079E-2,7.279719226E-3
1.179129167E0,4.234856740E-2,-1.226821169E-2,1.013464760E-3
1.189083167E0,2.480419353E-2,-1.153424475E-2,-6.995459087E-3
1.199038167E0,5.213960540E-3,-1.561722625E-2,-1.404323149E-2
1.208992167E0,-1.174957678E-2,-2.428182214E-2,-2.124042436E-2
1.218946167E0,-2.824556082E-2,-3.735661134E-2,-3.527936712E-2
1.228900167E0,-4.518273473E-2,-4.416951165E-2,-4.235485196E-2
1.238855167E0,-5.808115378E-2,-5.256059766E-2,-4.698851332E-2
1.248809167E0,-7.059561461E-2,-5.902408808E-2,-5.357504264E-2
1.258763167E0,-8.845088631E-2,-6.307786703E-2,-6.117977947E-2
1.268718167E0,-9.583184123E-2,-6.407655030E-2,-6.330791116E-2
1.278672167E0,-1.037103534E-1,-4.231071472E-2,-6.568101794E-2
1.288626167E0,-1.127839983E-1,-3.485625982E-2,-7.247127593E-2
1.298580167E0,-1.189129800E-1,-3.141775727E-2,-7.208380848E-2
1.308535167E0,-1.263416111E-1,-1.275459118E-2,-7.016207278E-2
1.318489167E0,-1.177695319E-1,1.515142899E-2,-6.993510574E-2
1.328443167E0,-1.132778451E-1,-1.897595939E-3,-6.944961101E-2
1.338398167E0,-1.259769648E-1,-1.015685871E-2,-6.618625671E-2
1.348352167E0,-1.916001886E-1,1.214791983E-1,-1.159436926E-1
1.358306167E0,-2.074101120E-1,1.868465841E-1,-1.390146315E-1
1.368261167E0,-1.782048196E-1,1.566817611E-1,-9.577234089E-2
1.378215167E0,-1.376650035E-1,1.015054341E-2,-5.448953807E-2
1.388169167E0,-1.366199851E-1,-7.020474970E-2,-5.141837895E-2
1.398123167E0,-1.253707260E-1,-6.939247996E-2,-3.566607460E-2
1.408078167E0,-8.161312342E-2,-3.990117088E-2,-9.456576779E-3
1.418032167E0,-3.086058795E-2,-3.037885949E-2,-7.237423956E-2
1.427986167E0,-6.071888655E-2,-5.937429145E-2,-1.273291111E-1
1.437941167E0,-1.281307936E-1,-1.375598162E-1,-9.812468290E-2
1.447895167E0,-1.664467603E-1,-1.379228085E-1,-6.725040078E-2
1.457849167E0,-1.671378464E-1,-8.347988874E-2,-4.887672141E-2
1.467804167E0,-1.765497178E-1,2.277093474E-3,-4.158418626E-2
1.477758167E0,-1.797740161E-1,1.181474105E-1,-4.723619670E-2
1.487712167E0,-1.711030304E-1,1.608328223E-1,-6.271395832E-2
1.497666167E0,-1.675975025E-1,1.142020226E-1,-7.735855132E-2
1.507621167E0,-1.687096357E-1,1.813168079E-2,-8.851294219E-2
1.517575167E0,-1.778694093E-1,-5.087019876E-2,-9.796324372E-2
1.527529167E0,-1.883252561E-1,-6.119554117E-2,-1.013510451E-1
1.537484167E0,-1.937546581E-1,-3.170919791E-2,-9.599968046E-2
1.547438167E0,-1.902675182E-1,-5.617676303E-3,-8.447911590E-2
1.557392167E0,-1.827654094E-1,1.612448250E-3,-7.372486591E-2
1.567347167E0,-1.722419262E-1,2.151738154E-3,-5.734536052E-2
1.577301167E0,-1.611806303E-1,9.927725419E-3,-4.650010169E-2
1.587255167E0,-1.441760808E-1,1.916996017E-2,-3.408843651E-2
1.597209167E0,-1.224432588E-1,3.572657704E-2,-2.727213129E-2
1.607164167E0,-9.751901031E-2,3.483175486E-2,-2.074552327E-2
1.617118167E0,-7.105789334E-2,3.190200031E-2,-1.222110540E-2
1.627072167E0,-5.202428252E-2,3.932210058E-2,-5.088893231E-3
1.637027167E0,-3.965583444E-2,4.483138025E-2,-2.323226072E-4
1.646981167E0,-2.612830512E-2,6.846400350E-2,-2.622509375E-3
1.656935167E0,-5.111281760E-3,8.048453927E-2,1.691999147E-3
1.666890167E0,6.187711842E-3,5.881013721E-2,5.749324802E-3
1.676844167E0,1.373320259E-2,3.261324391E-2,4.678358324E-3
1.686798167E0,2.026274055E-2,2.391029708E-2,-3.036167473E-4
1.696752167E0,2.044679970E-2,2.499873191E-2,-4.111287184E-3
1.706707167E0,2.158636600E-2,3.346065804E-2,-1.327522378E-2
1.716661167E0,2.682631277E-2,3.833974898E-2,-1.564725488E-2
1.726615167E0,3.227966651E-2,3.492850438E-2,-2.100792900E-2
1.736570167E0,3.663333878E-2,2.500396781E-2,-1.989603043E-2
1.746524167E0,4.032341391E-2,1.280562486E-2,-1.906325854E-2
1.756478167E0,4.005355760E-2,7.418672089E-3,-1.786000468E-2
1.766433167E0,4.334628955E-2,1.034335606E-2,-1.962994039E-2
1.776387167E0,4.547295719E-2,1.761671901E-2,-1.486654952E-2
1.786341167E0,3.847230226E-2,2.273344994E-2,-1.431394368E-2
1.796296167E0,2.888855338E-2,2.394598350E-2,-1.448646002E-2
1.806250167E0,1.586276665E-2,2.146311849E-2,-2.221868187E-2
1.816204167E0,3.160929075E-3,1.520532835E-2,-2.782976441E-2
1.826158167E0,-7.105556782E-3,1.083561406E-2,-3.694869578E-2
1.836113167E0,-1.108014025E-2,1.062779920E-3,-4.660793394E-2
1.846067167E0,-2.279565111E-2,-4.146629479E-3,-5.288713798E-2
1.856021167E0,-2.780335397E-2,1.681958674E-3,-5.716381967E-2
1.865976167E0,-3.496566042E-2,1.367284171E-2,-6.671365350E-2
1.875930167E0,-3.931946307E-2,1.980370469E-2,-7.059902698E-2
1.885884167E0,-3.998019174E-2,2.228683606E-2,-7.454770058E-2
1.895838167E0,-3.881287202E-2,1.795475930E-2,-7.918975502E-2
1.905792917E0,-3.307642415E-2,2.020885982E-2,-7.896737754E-2
1.915746917E0,-2.381108142E-2,3.520103917E-2,-7.492920011E-2
1.925700917E0,-8.768215775E-3,5.221384391E-2,-7.063565403E-2
1.935655917E0,2.128108405E-3,5.834044516E-2,-6.609070301E-2
1.945609917E0,9.470444173E-3,5.185325071E-2,-6.196999550E-2
1.955563917E0,1.558953710E-2,3.612506390E-2,-5.634550378E-2
1.965518917E0,1.027519908E-2,3.475646302E-2,-5.253824592E-2
1.975472917E0,-5.156884436E-4,3.024764918E-2,-5.716774613E-2
1.985426917E0,-7.133909501E-3,2.278094366E-2,-5.180786923E-2
1.995380917E0,-2.214174345E-2,2.453853935E-2,-5.048674345E-2
2.005335917E0,-2.826807648E-2,2.620274760E-2,-4.197607934E-2
2.015289917E0,-3.267032653E-2,3.404344618E-2,-3.651377931E-2
2.025243917E0,-4.187394306E-2,5.002187937E-2,-3.472839668E-2
2.035198917E0,-4.844446108E-2,5.732719973E-2,-3.051062860E-2
2.045152917E0,-5.157793686E-2,4.920428991E-2,-3.138254955E-2
2.055106917E0,-4.727723077E-2,3.779051453E-2,-2.820471674E-2
2.065061917E0,-3.850824013E-2,2.681935765E-2,-2.661374584E-2
2.075015917E0,-3.894901648E-2,2.147803456E-2,-2.777140215E-2
2.084969917E0,-3.358434513E-2,2.149214968E-2,-2.646192536E-2
2.094924917E0,-3.133927286E-2,1.537726633E-2,-2.396470681E-2
2.104878917E0,-3.731833398E-2,1.679593325E-2,-2.942898124E-2
2.114832917E0,-4.703599215E-2,2.058445290E-2,-3.296389431E-2
2.124786917E0,-4.646341503E-2,3.469308093E-2,-3.536580130E-2
2.134741917E0,-5.193106458E-2,4.170314223E-2,-3.509580344E-2
2.144695917E0,-5.295744538E-2,5.034030601E-2,-3.653630614E-2
2.154649917E0,-5.395068973E-2,4.963235185E-2,-4.329053685E-2
2.164604917E0,-4.049000889E-2,3.840419650E-2,-5.035590380E-2
2.174558917E0,-3.281839937E-2,2.804787271E-2,-5.555564538E-2
2.184512917E0,-2.129090577E-2,2.776051871E-2,-6.200928614E-2
2.194467917E0,-1.769280061E-5,3.005173057E-2,-6.201001257E-2
2.204421917E0,7.526509464E-3,3.795066848E-2,-6.273546070E-2
2.214375917E0,1.369954459E-2,5.038584769E-2,-6.088141724E-2
2.224329917E0,1.803889871E-2,6.599330902E-2,-5.271723121E-2
2.234284917E0,4.867794923E-3,7.375517488E-2,-4.817472771E-2
2.244238917E0,-1.881969161E-2,8.703449368E-2,-4.500583187E-2
2.254192917E0,-4.364978522E-2,8.687159419E-2,-4.316060618E-2
2.264147917E0,-7.542342693E-2,6.969660521E-2,-4.696866125E-2
2.274101917E0,-1.096810102E-1,5.911888555E-2,-4.687543958E-2
2.284055917E0,-1.509344429E-1,6.638558954E-2,-4.571643099E-2
2.294009917E0,-1.955460906E-1,8.935961127E-2,-5.026407167E-2
2.303964917E0,-2.315794677E-1,1.145118400E-1,-4.772873968E-2
2.313918917E0,-2.653181255E-1,1.239103973E-1,-3.800199553E-2
2.323872917E0,-3.041616678E-1,1.147781536E-1,-3.013981134E-2
2.333827917E0,-3.152952790E-1,9.792026132E-2,-2.938560955E-2
2.343781917E0,-2.930046320E-1,1.020787880E-1,-2.104006149E-2
2.353735917E0,-2.716660798E-1,1.120936871E-1,-1.791468635E-2
2.363690917E0,-2.879084349E-1,1.270172447E-1,-3.675921261E-2
2.373644917E0,-3.150218725E-1,1.606207341E-1,-6.120875105E-2
2.383598917E0,-3.175952733E-1,1.602428406E-1,-7.431629300E-2
2.393552917E0,-2.774260640E-1,1.012883484E-1,-8.727480471E-2
2.403507917E0,-2.152955681E-1,5.758854374E-2,-7.582800090E-2
2.413461917E0,-1.677523851E-1,6.089401897E-3,-5.775588006E-2
2.423415917E0,-1.336088032E-1,-1.214278117E-1,-4.837143421E-2
2.433370917E0,-8.148214966E-2,-2.110610157E-1,-5.799106881E-2
2.443324917E0,-1.398460101E-2,-2.039226890E-1,-7.740630955E-2
2.453278917E0,4.974416643E-2,-1.412901133E-1,-8.917421848E-2
2.463233917E0,1.098064408E-1,-1.287910938E-1,-9.352928400E-2
2.473187917E0,1.712970436E-1,-1.066587195E-1,-9.063819796E-2
2.483141917E0,2.342674881E-1,-4.813442007E-2,-7.696232945E-2
2.493095917E0,2.850570381E-1,2.211506292E-2,-7.180517167E-2
2.503050917E0,2.997574210E-1,5.478805304E-2,-7.036893070E-2
2.513004917E0,2.826147377E-1,9.809184819E-2,-7.106780261E-2
2.522958917E0,2.418561280E-1,1.282923669E-1,-7.879310101E-2
2.532913917E0,2.091063410E-1,1.446286440E-1,-8.118776977E-2
2.542867917E0,1.712918431E-1,1.421135515E-1,-7.773790509E-2
2.552821917E0,1.310216784E-1,1.161058322E-1,-7.477195561E-2
2.562776917E0,9.470653534E-2,6.937028468E-2,-6.521520019E-2
2.572730917E0,7.997473329E-2,4.782894626E-2,-5.283242464E-2
2.582684917E0,8.771654218E-2,3.147500753E-2,-3.408856690E-2
2.592638917E0,7.260833681E-2,-1.453030203E-2,-1.929373294E-2
2.602593917E0,4.813122377E-2,-3.481480107E-2,-4.150199238E-3
2.612547917E0,3.435459733E-2,-3.618082032E-2,1.031865925E-2
2.622501917E0,1.897377893E-2,-3.703729436E-2,1.918565482E-2
2.632456917E0,-2.000269014E-4,-4.322772473E-2,2.563575283E-2
2.642410917E0,-1.389506646E-2,-5.904077366E-2,3.069016524E-2
2.652364917E0,-2.160774358E-2,-5.731717870E-2,3.442293778E-2
2.662319917E0,-1.823564805E-2,-5.204625055E-2,2.669684030E-2
2.672273917E0,2.972519957E-3,-3.559714556E-2,1.323131938E-2
2.682227917E0,2.912342921E-2,-1.523807738E-2,6.304170936E-3
2.692181917E0,4.882739484E-2,-2.203926072E-2,4.401459824E-3
2.702136917E0,6.914944202E-2,-4.534351826E-2,9.325112216E-3
2.712090917E0,9.025743604E-2,-6.062988192E-2,2.604188398E-2
2.722044917E0,1.152927503E-1,-7.452838868E-2,2.593109570E-2
2.731999917E0,1.386923194E-1,-9.431274980E-2,1.991291158E-2
2.741953917E0,1.572305709E-1,-1.049355641E-1,2.234783955E-2
2.751907917E0,1.731778830E-1,-1.052788422E-1,2.207457274E-2
2.761861917E0,1.917062849E-1,-1.184694842E-1,1.727635600E-2
2.771816917E0,2.078321874E-1,-1.303372234E-1,9.746573865E-3
2.781770917E0,2.235845178E-1,-1.188454330E-1,1.153302193E-2
2.791724917E0,2.250140756E-1,-9.150897712E-2,1.222146582E-2
2.801679917E0,2.086460292E-1,-7.797079533E-2,1.479328051E-2
2.811633917E0,1.935266256E-1,-7.702910155E-2,1.709496230E-2
2.821587917E0,1.837421805E-1,-1.091912985E-1,1.700707898E-2
2.831542917E0,1.829898506E-1,-1.476125270E-1,5.442083348E-4
2.841496917E0,1.989443153E-1,-1.694632322E-1,-2.554970980E-2
2.851450917E0,2.091605514E-1,-1.755756289E-1,-3.673449904E-2
2.861404917E0,2.125893682E-1,-1.641027331E-1,-3.446016088E-2
2.871359917E0,2.111466825E-1,-1.422616243E-1,-3.803475201E-2
2.881313917E0,2.080725878E-1,-1.201960072E-1,-3.547811508E-2
2.891267917E0,2.322142720E-1,-1.040536985E-1,-2.991470136E-2
2.901222875E0,2.745782435E-1,-9.847251326E-2,-2.387012541E-2
2.911176875E0,3.262609839E-1,-1.031352654E-1,-2.133604884E-2
2.921130875E0,3.781758547E-1,-1.124062687E-1,-6.539792754E-3
2.931085875E0,4.211327732E-1,-1.347182989E-1,1.770914532E-2
2.941039875E0,4.482820928E-1,-1.658783555E-1,4.774294794E-2
2.950993875E0,4.452145994E-1,-1.922905296E-1,7.945443690E-2
2.960947875E0,4.214988947E-1,-2.281073928E-1,1.221702099E-1
2.970902875E0,3.941553831E-1,-2.689903677E-1,1.586295664E-1
2.980856875E0,3.644161224E-1,-2.928909063E-1,1.768961996E-1
2.990810875E0,3.383462429E-1,-2.944111228E-1,1.815046221E-1
3.000765875E0,3.010252416E-1,-2.760052383E-1,1.716959327E-1
3.010719875E0,2.727757096E-1,-2.528945804E-1,1.730783880E-1
3.020673875E0,2.680097222E-1,-2.487315238E-1,1.724461615E-1
3.030628875E0,2.745563984E-1,-2.535585761E-1,1.766027808E-1
3.040582875E0,2.876996398E-1,-2.452745587E-1,1.968310922E-1
3.050536875E0,3.108671606E-1,-2.148262113E-1,2.193680257E-1
3.060490875E0,3.360688984E-1,-1.815974116E-1,2.257497460E-1
3.070445875E0,3.740235865E-1,-1.525980532E-1,2.111574560E-1
3.080399875E0,3.983278573E-1,-1.431342512E-1,1.974016875E-1
3.090353875E0,4.110272527E-1,-1.390526891E-1,1.934895813E-1
3.100308875E0,4.251457453E-1,-1.259981394E-1,1.938099563E-1
3.110262875E0,4.197241068E-1,-1.482769996E-1,1.952002496E-1
3.120216875E0,3.737893701E-1,-1.695830822E-1,1.871937215E-1
3.130170875E0,3.080115318E-1,-1.332390159E-1,1.677596420E-1
3.140125875E0,2.301225811E-1,-7.891372591E-2,1.326727569E-1
3.150079875E0,1.431615800E-1,-1.837208495E-2,8.823952079E-2
3.160033875E0,5.993274227E-2,3.941451386E-2,-6.742122583E-3
3.169988875E0,-2.097183466E-2,1.377301067E-1,-1.237661466E-1
3.179942875E0,-7.406141609E-2,2.943466008E-1,-2.008194029E-1
3.189896875E0,-2.889961749E-2,5.230112076E-1,-1.443773657E-1
3.199851875E0,7.672481239E-2,6.998823881E-1,-2.658282779E-2
3.209805875E0,1.502677351E-1,8.349286914E-1,7.943948358E-2
3.219759875E0,2.322691232E-1,8.272529244E-1,1.420504004E-1
3.229713875E0,3.712760806E-1,7.431167364E-1,1.627300829E-1
3.239668875E0,5.195449591E-1,6.583656073E-1,1.657493114E-1
3.249622875E0,5.831913352E-1,5.360350013E-1,1.835412085E-1
3.259576875E0,5.435866714E-1,3.359906077E-1,2.058787495E-1
3.269531875E0,4.720201790E-1,8.722323179E-2,2.062127590E-1
3.279485875E0,3.967259526E-1,-1.118730903E-1,1.799734235E-1
3.289439875E0,2.902364135E-1,-2.142553926E-1,1.640351415E-1
3.299394875E0,1.474251747E-1,-1.867420077E-1,1.637190282E-1
