"Time (s)","Temperature (°C)"
1.459613237E1,3.170312500E1
1.461401482E1,3.169531250E1
1.463192095E1,3.168750000E1
1.464981554E1,3.171093750E1
1.466771001E1,3.170312500E1
1.468560735E1,3.169531250E1
1.470349895E1,3.167968750E1
1.472139287E1,3.171093750E1
1.473927574E1,3.173437500E1
1.475717900E1,3.171875000E1
1.477507622E1,3.168750000E1
1.479297099E1,3.168750000E1
1.481085332E1,3.169531250E1
1.482875975E1,3.167968750E1
1.484665404E1,3.171093750E1
1.486454869E1,3.167578125E1
1.488244267E1,3.164843750E1
1.490032774E1,3.169140625E1
1.491823284E1,3.171093750E1
1.493612627E1,3.165234375E1
1.495402062E1,3.169921875E1
1.497191509E1,3.169531250E1
1.498980943E1,3.170312500E1
1.500770391E1,3.166796875E1
1.502559850E1,3.164843750E1
1.504349297E1,3.169921875E1
1.506138701E1,3.168750000E1
1.507926665E1,3.171093750E1
1.509717333E1,3.164453125E1
1.511507353E1,3.167968750E1
1.513296489E1,3.170703125E1
1.515086205E1,3.171875000E1
1.516875371E1,3.170312500E1
1.518664824E1,3.169531250E1
1.520454253E1,3.171093750E1
1.522243706E1,3.168750000E1
1.524032042E1,3.171093750E1
1.525822630E1,3.167578125E1
1.527612279E1,3.169140625E1
1.529401470E1,3.170312500E1
1.531190947E1,3.173437500E1
1.532980345E1,3.170312500E1
1.534769805E1,3.166015625E1
1.536559258E1,3.169140625E1
1.538348717E1,3.166015625E1
1.540138140E1,3.168359375E1
1.541926378E1,3.171875000E1
1.543716734E1,3.170312500E1
1.545506432E1,3.168750000E1
1.547295915E1,3.168750000E1
1.549085362E1,3.169531250E1
1.550874803E1,3.167968750E1
1.552664403E1,3.168750000E1
1.554453056E1,3.168750000E1
1.556243096E1,3.171093750E1
1.558031804E1,3.169531250E1
1.559822124E1,3.168750000E1
1.561611754E1,3.171875000E1
1.563400884E1,3.170312500E1
1.565190019E1,3.168750000E1
1.566979747E1,3.169531250E1
1.568769194E1,3.167968750E1
1.570558647E1,3.164453125E1
1.572348107E1,3.166406250E1
1.574137224E1,3.167968750E1
1.575925792E1,3.171484375E1
1.577716130E1,3.167968750E1
1.579505834E1,3.167578125E1
1.581295293E1,3.169921875E1
1.583084752E1,3.167578125E1
1.584874193E1,3.169921875E1
1.586663628E1,3.171875000E1
1.588453075E1,3.168750000E1
1.590242504E1,3.170312500E1
1.592031865E1,3.169531250E1
1.593821147E1,3.168750000E1
1.595610851E1,3.170312500E1
1.597400273E1,3.167968750E1
1.599189702E1,3.169531250E1
1.600978130E1,3.169531250E1
1.602768608E1,3.170312500E1
1.604558061E1,3.169531250E1
1.606347490E1,3.169531250E1
1.608137230E1,3.168750000E1
1.609925176E1,3.166796875E1
1.611715550E1,3.170703125E1
1.613505254E1,3.167968750E1
1.615294713E1,3.166015625E1
1.617084136E1,3.169140625E1
1.618873583E1,3.166015625E1
1.620662822E1,3.167968750E1
1.622452477E1,3.170703125E1
1.624241911E1,3.169531250E1
1.626030315E1,3.169531250E1
1.627820464E1,3.167968750E1
1.629610533E1,3.165234375E1
1.631399663E1,3.168359375E1
