"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.886423708E0,2.818094194E-2,4.505598918E-2,-3.519122675E-2
1.896378708E0,3.273947537E-2,3.984977677E-2,-1.424493361E-2
1.906333708E0,4.728640988E-2,2.078556083E-2,-3.379557282E-3
1.916288708E0,8.569371700E-2,3.041528538E-2,7.278945763E-3
1.926243708E0,1.066697985E-1,2.368381247E-2,2.268046513E-2
1.936198708E0,1.099409610E-1,1.637556590E-2,2.507597581E-2
1.946153708E0,1.056826487E-1,-2.925645746E-2,2.101226710E-2
1.956108708E0,1.105889902E-1,-5.830701813E-2,2.484801784E-2
1.966063708E0,1.384549439E-1,-6.080152839E-2,1.630837657E-2
1.976018708E0,1.747607440E-1,-2.573701739E-2,9.579367936E-3
1.985973708E0,1.993725747E-1,2.340684459E-2,2.096911520E-2
1.995929708E0,2.256883383E-1,6.708881259E-2,2.969336510E-2
2.005884708E0,2.667522728E-1,1.045986116E-1,3.868667409E-2
2.015839708E0,3.194490373E-1,1.282144487E-1,2.952247113E-2
2.025794708E0,3.461409509E-1,1.203092262E-1,2.788699605E-2
2.035749708E0,3.643780053E-1,1.085585654E-1,2.808007412E-2
2.045704708E0,3.747589886E-1,1.106035560E-1,2.523624524E-2
2.055662458E0,3.760106862E-1,1.276166141E-1,1.657591015E-2
2.065617458E0,3.569565117E-1,1.473380625E-1,8.626300842E-3
2.075572458E0,3.312847018E-1,1.491024196E-1,-3.818917554E-3
2.085527458E0,3.059308231E-1,1.191181615E-1,-2.049087733E-2
2.095482458E0,2.724085450E-1,9.133020788E-2,-2.214283496E-2
2.105437458E0,2.434752882E-1,8.696831763E-2,-1.708740368E-2
2.115392458E0,2.472681552E-1,7.079999894E-2,-4.681067076E-3
2.125347458E0,2.471497655E-1,6.787914783E-2,3.711040132E-3
2.135302458E0,2.352912426E-1,7.990758121E-2,2.375452407E-2
2.145258458E0,2.310870588E-1,9.896559268E-2,5.362032354E-2
2.155213458E0,2.644711137E-1,1.113327816E-1,8.288154006E-2
2.165168458E0,3.057011068E-1,1.324163526E-1,1.019238010E-1
2.175123458E0,3.410271406E-1,1.321428567E-1,1.172026172E-1
2.185078458E0,3.648168743E-1,1.006126925E-1,1.309544295E-1
2.195033458E0,3.638730347E-1,3.159660846E-2,1.449059397E-1
2.204988458E0,3.726549745E-1,-2.666027099E-2,1.451766789E-1
2.214943458E0,3.858911395E-1,-2.615586855E-2,1.548492908E-1
2.224898458E0,3.785928488E-1,-1.704302058E-2,1.535314173E-1
2.234853458E0,3.406558335E-1,-3.310134634E-2,1.624924242E-1
2.244808458E0,2.951796651E-1,-7.264269888E-2,1.632635891E-1
2.254763458E0,2.595742643E-1,-1.410827339E-1,1.613032371E-1
2.264718458E0,2.261159569E-1,-2.146859914E-1,1.568839103E-1
2.274673458E0,2.124821842E-1,-2.709415555E-1,1.469378024E-1
2.284629458E0,2.105977535E-1,-2.908393145E-1,1.406664252E-1
2.294584458E0,1.912440211E-1,-2.663262486E-1,1.267428845E-1
2.304539458E0,1.329070926E-1,-2.566218376E-1,9.413933754E-2
2.314494458E0,6.120254472E-2,-2.955388725E-1,5.990039930E-2
2.324449458E0,4.809414223E-2,-3.265288472E-1,-5.879592616E-3
2.334404458E0,7.365249842E-2,-4.231145084E-1,-1.305517405E-1
2.344359458E0,7.692181319E-2,-4.639043808E-1,-2.860481441E-1
2.354314458E0,8.925784379E-2,-3.562117219E-1,-3.429465890E-1
2.364269458E0,1.425789744E-1,-1.582944095E-1,-2.947766185E-1
2.374224458E0,2.032111734E-1,7.062558085E-2,-2.002812475E-1
2.384179458E0,2.434693277E-1,2.998163700E-1,-8.385591209E-2
2.394134458E0,2.733952701E-1,4.967936277E-1,5.814623460E-2
2.404089458E0,2.975535393E-1,6.498283744E-1,1.952357739E-1
2.414044458E0,3.037176728E-1,6.326565742E-1,2.956827581E-1
2.423999458E0,3.060795367E-1,4.744924605E-1,3.506899178E-1
2.433955458E0,3.126405180E-1,2.727321982E-1,3.388431072E-1
2.443910458E0,3.140745759E-1,1.188276485E-1,2.670241296E-1
2.453865458E0,3.099219203E-1,5.451790616E-2,1.808436960E-1
2.463820458E0,3.100599945E-1,7.873306423E-2,1.159815639E-1
2.473775458E0,3.338289857E-1,1.635683328E-1,6.724625081E-2
2.483730458E0,3.353727460E-1,2.376217991E-1,2.640075982E-2
2.493685458E0,2.830336392E-1,2.441028655E-1,2.334025502E-2
2.503640458E0,2.157151252E-1,2.086114436E-1,5.742955580E-2
2.513595458E0,1.711908132E-1,1.782745719E-1,9.221416712E-2
2.523550458E0,1.467792541E-1,1.278585196E-1,1.191294640E-1
2.533505458E0,1.223173216E-1,5.513052270E-2,1.593146920E-1
2.543460458E0,5.664278939E-2,1.178539991E-1,8.858752996E-2
2.553415458E0,9.111756459E-3,8.541563153E-2,5.792043731E-2
2.563370458E0,-1.142578665E-2,-6.106126681E-2,1.563112587E-1
2.573325458E0,-7.256291062E-2,-1.110855490E-1,2.368148863E-1
2.583281458E0,-1.243502796E-1,-8.823282272E-2,2.962026894E-1
2.593236458E0,-1.592581868E-1,1.085434575E-2,3.230625391E-1
2.603191458E0,-1.742293090E-1,1.223888323E-1,3.159303963E-1
2.613146458E0,-1.820560694E-1,2.088923007E-1,2.935848832E-1
2.623101458E0,-2.030118704E-1,2.891190052E-1,2.740273178E-1
2.633056458E0,-2.378239036E-1,3.057853281E-1,2.433833629E-1
2.643011458E0,-2.672044933E-1,2.427244931E-1,2.108598650E-1
2.652966458E0,-2.853949368E-1,1.305729151E-1,2.044075578E-1
2.662921458E0,-2.970909178E-1,-1.646002755E-2,2.059854865E-1
2.672876458E0,-2.970075607E-1,-9.323017299E-2,1.858559847E-1
