"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.345621417E0,-3.442211151E0,4.465604401E1,1.614251709E1
1.355578417E0,-3.578884125E0,4.483047485E1,1.496472168E1
1.365536417E0,-3.935153961E0,4.518501282E1,1.400074768E1
1.375494417E0,-4.214862823E0,4.548219299E1,1.321878052E1
1.385452417E0,-4.939037323E0,4.536656952E1,1.226354980E1
1.395410417E0,-5.253765106E0,4.542261505E1,1.177359009E1
1.405368417E0,-5.529575348E0,4.551033020E1,1.226466370E1
1.415325417E0,-5.529575348E0,4.551033020E1,1.226466370E1
1.425283417E0,-6.017147064E0,4.520117950E1,1.286447144E1
1.435241417E0,-6.093517303E0,4.496519470E1,1.359321594E1
1.445199417E0,-6.104244232E0,4.494753265E1,1.402055359E1
1.455157417E0,-6.104244232E0,4.494753265E1,1.402055359E1
1.465115417E0,-6.741603851E0,4.475641632E1,1.354705811E1
1.475072417E0,-7.502239227E0,4.478491211E1,1.344078064E1
1.485030417E0,-8.479389191E0,4.457984161E1,1.364584351E1
1.494988417E0,-9.512531281E0,4.437904358E1,1.307574463E1
1.504946417E0,-1.059845352E1,4.414507294E1,1.342861938E1
1.514904417E0,-1.155176926E1,4.397950745E1,1.390985107E1
1.524862417E0,-1.244717026E1,4.346516418E1,1.434794617E1
1.534819417E0,-1.244717026E1,4.346516418E1,1.434794617E1
1.544777417E0,-1.290839767E1,4.344490051E1,1.483642578E1
1.554735417E0,-1.319900131E1,4.323984528E1,1.483114624E1
1.564693417E0,-1.301631546E1,4.310688019E1,1.512756348E1
1.574651417E0,-1.294135666E1,4.314098358E1,1.545555115E1
1.584609417E0,-1.291971207E1,4.299369812E1,1.552976990E1
1.594566417E0,-1.252408218E1,4.287262726E1,1.556552124E1
1.604524417E0,-1.241392136E1,4.291079712E1,1.547261047E1
1.614482417E0,-1.248228073E1,4.278412628E1,1.565335083E1
1.624440417E0,-1.279795456E1,4.295221710E1,1.569491577E1
1.634398417E0,-1.256080246E1,4.280966949E1,1.551531982E1
1.644356417E0,-1.286008835E1,4.294348145E1,1.573173523E1
1.654314417E0,-1.307578659E1,4.292118835E1,1.585514832E1
1.664271417E0,-1.316998672E1,4.292879486E1,1.577503967E1
1.674229417E0,-1.340481186E1,4.281997681E1,1.536766052E1
1.684187417E0,-1.345730209E1,4.282581329E1,1.540753174E1
1.694145417E0,-1.384668350E1,4.278604126E1,1.571641541E1
1.704103417E0,-1.418643570E1,4.252631378E1,1.603382874E1
1.714061417E0,-1.431311417E1,4.240573120E1,1.572007751E1
1.724018417E0,-1.454398727E1,4.230870819E1,1.554519653E1
