"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.098748362E1,3.466799089E1,1.353932252E2,1.438347134E1,2.807807475E-1,NaN,4.825553814E0,3.246315977E0
9.198748374E1,3.466799636E1,1.353932217E2,1.435170909E1,5.652765316E-2,NaN,4.823387208E0,3.249534255E0
9.298748314E1,3.466799341E1,1.353932175E2,1.441535429E1,7.996673741E-2,NaN,4.825704076E0,3.246092606E0
9.398748219E1,3.466799049E1,1.353932156E2,1.421049971E1,7.583338334E-2,NaN,4.826947024E0,3.244244051E0
9.498748124E1,3.466799029E1,1.353932171E2,1.444834505E1,8.335899071E-2,NaN,4.825069236E0,3.247036171E0
9.598748147E1,3.466799201E1,1.353932176E2,1.449457055E1,4.077535953E-2,NaN,4.823267089E0,3.249712545E0
9.698748052E1,3.466799358E1,1.353932162E2,1.443832122E1,4.310602192E-2,NaN,4.825224636E0,3.246805237E0
9.798747969E1,3.466799381E1,1.353932153E2,1.448268213E1,4.970382918E-2,NaN,4.824508528E0,3.247869223E0
9.898747933E1,3.466799373E1,1.353932134E2,1.473924764E1,9.748560521E-2,NaN,4.824998910E0,3.247140673E0
9.998747849E1,3.466799109E1,1.353932193E2,1.466638267E1,4.876691249E-2,NaN,4.822100546E0,3.251443273E0
1.009874783E2,3.466798769E1,1.353932222E2,1.452554711E1,2.530570973E-2,NaN,4.819002746E0,3.256032796E0
1.019874774E2,3.466799017E1,1.353932247E2,1.441395565E1,8.457856050E-2,NaN,4.817013566E0,3.258974890E0
1.029874775E2,3.466799359E1,1.353932200E2,1.444761055E1,7.486265680E-2,NaN,4.816688635E0,3.259455111E0
1.039874762E2,3.466799795E1,1.353932181E2,1.428839835E1,8.973712140E-2,NaN,4.816804104E0,3.259284470E0
1.049874755E2,3.466799531E1,1.353932224E2,1.446169341E1,6.561876577E-2,NaN,4.814960948E0,3.262006760E0
1.059874749E2,3.466799555E1,1.353932233E2,1.430623492E1,8.974130390E-2,NaN,4.819260636E0,3.255651080E0
1.069874743E2,3.466800247E1,1.353932203E2,1.449159954E1,4.297809685E-2,NaN,4.819118698E0,3.255861178E0
1.079874746E2,3.466800111E1,1.353932246E2,1.458987653E1,3.860410520E-2,NaN,4.817080250E0,3.258876324E0
1.089874730E2,3.466800152E1,1.353932214E2,1.468679015E1,6.190236923E-2,NaN,4.817008803E0,3.258981931E0
1.099874727E2,3.466799832E1,1.353932209E2,1.461754574E1,3.309736858E-2,NaN,4.818147167E0,3.257298714E0
1.109874722E2,3.466799792E1,1.353932185E2,1.467878004E1,8.635438570E-2,NaN,4.813937028E0,3.263517630E0
1.119874712E2,3.466799593E1,1.353932184E2,1.442758828E1,6.945201267E-2,NaN,4.822261531E0,3.251204508E0
1.129874711E2,3.466800268E1,1.353932163E2,1.459138400E1,6.076234104E-2,NaN,4.825067255E0,3.247039116E0
1.139874706E2,3.466800102E1,1.353932149E2,1.464319231E1,3.929693646E-2,NaN,4.828515784E0,3.241908752E0
1.149874700E2,3.466799807E1,1.353932188E2,1.469180898E1,5.813772163E-2,NaN,4.828363741E0,3.242135195E0
1.159874696E2,3.466799131E1,1.353932128E2,1.459050445E1,6.075779009E-2,NaN,4.827434922E0,3.243518013E0
1.169874690E2,3.466798907E1,1.353932110E2,1.464186823E1,2.640651399E-2,NaN,4.830915316E0,3.238332016E0
1.179874675E2,3.466799289E1,1.353932103E2,1.471356811E1,3.555715514E-2,NaN,4.828093178E0,3.242538094E0
1.189874679E2,3.466799323E1,1.353932133E2,1.466200760E1,2.715893691E-2,NaN,4.825642485E0,3.246184165E0
1.199874668E2,3.466799420E1,1.353932155E2,1.464973674E1,3.718090887E-2,NaN,4.824660575E0,3.247643356E0
1.209874665E2,3.466799065E1,1.353932178E2,1.473445394E1,6.057534771E-2,NaN,4.824034969E0,3.248572555E0
1.219874657E2,3.466798750E1,1.353932214E2,1.475979321E1,4.545291792E-2,NaN,4.823570757E0,3.249261790E0
1.229874645E2,3.466798927E1,1.353932232E2,1.463301171E1,6.113674068E-2,NaN,4.823572400E0,3.249259352E0
1.239874642E2,3.466799300E1,1.353932160E2,1.497501527E1,8.533707663E-2,NaN,4.819663321E0,3.255054916E0
1.249874638E2,3.466799637E1,1.353932214E2,1.502180504E1,1.743188668E-1,NaN,4.817031108E0,3.258948962E0
1.259874626E2,3.466799681E1,1.353932161E2,1.498405954E1,1.991101739E-1,NaN,4.809673083E0,3.269798444E0
1.269874635E2,3.466799753E1,1.353932155E2,1.492923001E1,5.880665226E-2,NaN,4.806633888E0,3.274264451E0
1.279874620E2,3.466799852E1,1.353932168E2,1.460567756E1,4.942822296E-1,NaN,4.798417937E0,3.286293100E0
1.289874616E2,3.466799612E1,1.353932273E2,1.359557290E1,7.061660488E-1,1.066839376E2,4.795156800E0,3.291049726E0
1.299874604E2,3.466799559E1,1.353932147E2,1.367779764E1,2.916757654E-1,NaN,4.787438440E0,3.302267436E0
1.309874599E2,3.466798996E1,1.353932147E2,1.373030751E1,2.269225938E-1,NaN,4.781414322E0,3.310983859E0
1.319874600E2,3.466798916E1,1.353932206E2,1.409727195E1,1.526145940E-1,NaN,4.780521861E0,3.312272297E0
1.329875225E2,3.466798909E1,1.353932188E2,1.412570860E1,2.205567915E-1,NaN,4.776083968E0,3.318668251E0
1.339875258E2,3.466799002E1,1.353932155E2,1.418599696E1,8.846018513E-2,NaN,4.775037385E0,3.320173941E0
1.349875274E2,3.466799027E1,1.353932170E2,1.400924260E1,1.386672737E-1,NaN,4.777910625E0,3.316037860E0
1.359875283E2,3.466799119E1,1.353932173E2,1.402112043E1,6.645343227E-2,NaN,4.774853057E0,3.320439025E0
1.369875250E2,3.466798778E1,1.353932192E2,1.419039319E1,1.416276635E-1,NaN,4.777002016E0,3.317346647E0
1.379875243E2,3.466798528E1,1.353932206E2,1.428992430E1,4.008957053E-2,NaN,4.775425855E0,3.319615179E0
1.389875243E2,3.466798479E1,1.353932214E2,1.415813270E1,1.086725891E-1,NaN,4.785186199E0,3.305530226E0
1.399875300E2,3.466799240E1,1.353932153E2,1.433982423E1,9.456332895E-2,NaN,4.793774597E0,3.293062730E0
1.409875296E2,3.466799165E1,1.353932116E2,1.433194243E1,1.085257746E-1,NaN,4.798593148E0,3.286037254E0
1.419875267E2,3.466799698E1,1.353932149E2,1.443606668E1,1.160748987E-1,NaN,4.799928414E0,3.284086517E0
1.429875314E2,3.466799566E1,1.353932139E2,1.441063075E1,3.412259309E-2,NaN,4.801844705E0,3.281283966E0
1.439875342E2,3.466799684E1,1.353932111E2,1.446492942E1,9.178914907E-2,NaN,4.803627520E0,3.278673463E0
1.449875379E2,3.466799758E1,1.353932169E2,1.456599368E1,4.756600790E-2,NaN,4.806894705E0,3.273881539E0
1.459875374E2,3.466799753E1,1.353932157E2,1.457755748E1,3.400208038E-2,NaN,4.807953361E0,3.272326621E0
1.469875343E2,3.466799869E1,1.353932139E2,1.459670310E1,3.555400364E-2,NaN,4.807888605E0,3.272421763E0
1.479875320E2,3.466799981E1,1.353932166E2,1.482729544E1,9.226260726E-2,NaN,4.803979299E0,3.278158009E0
1.489875283E2,3.466800019E1,1.353932154E2,1.492890283E1,1.075762249E-1,NaN,4.802923929E0,3.279704066E0
1.499875253E2,3.466799990E1,1.353932167E2,1.501871615E1,8.196266613E-2,NaN,4.802328557E0,3.280575782E0
1.509875225E2,3.466800048E1,1.353932106E2,1.509484285E1,9.881924439E-2,NaN,4.801730385E0,3.281451256E0
1.519875200E2,3.466799836E1,1.353932089E2,1.491844455E1,1.642598575E-1,NaN,4.804928996E0,3.276765841E0
1.529875175E2,3.466799525E1,1.353932114E2,1.510051758E1,9.941936604E-2,NaN,4.809203325E0,3.270489323E0
1.539875146E2,3.466799467E1,1.353932060E2,1.495848349E1,8.817877630E-2,NaN,4.817139727E0,3.258788407E0
1.549875125E2,3.466799478E1,1.353932025E2,1.493686459E1,1.309006964E-2,NaN,4.817173225E0,3.258738890E0
1.559875095E2,3.466799253E1,1.353932023E2,1.491825030E1,5.721578400E-2,NaN,4.815423005E0,3.261324626E0
1.569875076E2,3.466799049E1,1.353932073E2,1.520346019E1,1.691125035E-1,NaN,4.816538619E0,3.259676788E0
1.579875057E2,3.466799145E1,1.353932103E2,1.510796054E1,7.064897039E-2,NaN,4.810776754E0,3.268174422E0
1.589875036E2,3.466799228E1,1.353932091E2,1.488815207E1,4.683900433E-2,NaN,4.815748713E0,3.260843659E0
1.599875014E2,3.466799032E1,1.353932048E2,1.475976884E1,3.792039380E-2,NaN,4.811615316E0,3.266939712E0
1.609874997E2,3.466799284E1,1.353932052E2,1.461771144E1,5.884934273E-2,NaN,4.816975816E0,3.259030687E0
1.619874988E2,3.466799520E1,1.353932096E2,1.449145432E1,1.175097476E-1,NaN,4.816420353E0,3.259851532E0
1.629874972E2,3.466799996E1,1.353932106E2,1.473841690E1,3.509489054E-2,NaN,4.816233481E0,3.260127618E0
1.639874946E2,3.466800259E1,1.353932050E2,1.467485799E1,8.502380987E-2,NaN,4.817230132E0,3.258654767E0
1.649874938E2,3.466800588E1,1.353932080E2,1.472702225E1,5.479385492E-2,NaN,4.814074193E0,3.263315292E0
1.659874917E2,3.466800271E1,1.353932122E2,1.472493209E1,4.752731625E-2,NaN,4.813124504E0,3.264715844E0
1.669874908E2,3.466799759E1,1.353932162E2,1.468039501E1,7.536897763E-2,NaN,4.812820257E0,3.265164345E0
1.679874892E2,3.466799923E1,1.353932131E2,1.465724509E1,2.314233448E-2,NaN,4.817549595E0,3.258182459E0
1.689874884E2,3.466800099E1,1.353932136E2,1.455136208E1,6.754462728E-2,NaN,4.819022232E0,3.256003956E0
1.699874865E2,3.466799340E1,1.353932167E2,1.445234319E1,5.460345446E-2,NaN,4.822099761E0,3.251444437E0
1.709874859E2,3.466798978E1,1.353932156E2,1.444553013E1,1.835691691E-2,NaN,4.821515209E0,3.252311197E0
1.719874848E2,3.466798169E1,1.353932183E2,1.440276974E1,3.423783567E-2,NaN,4.821545052E0,3.252266954E0
1.729874829E2,3.466797982E1,1.353932128E2,1.427420049E1,2.328167224E-1,NaN,4.820321843E0,3.254079650E0
1.739874827E2,3.466797982E1,1.353932133E2,1.429112335E1,3.251401624E-2,NaN,4.820288118E0,3.254129606E0
1.749874808E2,3.466798087E1,1.353932104E2,1.435964261E1,4.202172363E-2,NaN,4.821000153E0,3.253074631E0
1.759874798E2,3.466798374E1,1.353932147E2,1.435196482E1,3.831131376E-2,NaN,4.818893073E0,3.256195108E0
1.769874792E2,3.466798900E1,1.353932143E2,1.443387724E1,6.617459564E-2,NaN,4.819204582E0,3.255734055E0
1.779874778E2,3.466798932E1,1.353932082E2,1.427954359E1,2.847372949E-2,NaN,4.820512080E0,3.253797831E0
1.789874769E2,3.466798839E1,1.353932129E2,1.424904908E1,4.963612475E-2,NaN,4.821750418E0,3.251962475E0
1.799874762E2,3.466798618E1,1.353932134E2,1.435507629E1,6.659772956E-2,NaN,4.822785023E0,3.250427919E0
1.809874760E2,3.466798610E1,1.353932132E2,1.414676919E1,7.816945845E-2,NaN,4.824811431E0,3.247419235E0
1.819874742E2,3.466798934E1,1.353932112E2,1.427865865E1,3.614231941E-2,NaN,4.828694912E0,3.241641942E0
1.829874731E2,3.466799297E1,1.353932058E2,1.420654364E1,1.710378075E-1,NaN,4.824290662E0,3.248192827E0
1.839874729E2,3.466799615E1,1.353932073E2,1.437053469E1,6.232342318E-2,NaN,4.826653876E0,3.244680168E0
1.849874715E2,3.466799311E1,1.353932056E2,1.419249438E1,5.577955672E-2,NaN,4.826661364E0,3.244669029E0
1.859874715E2,3.466798995E1,1.353932055E2,1.415493037E1,4.996659861E-2,NaN,4.825820524E0,3.245919484E0
1.869874699E2,3.466798526E1,1.353932064E2,1.413521807E1,1.873459272E-2,NaN,4.823361765E0,3.249572021E0
1.879874694E2,3.466799299E1,1.353932086E2,1.417617083E1,1.323796525E-2,NaN,4.819749060E0,3.254927962E0
1.889874692E2,3.466799001E1,1.353932114E2,1.427864306E1,1.390335879E-1,NaN,4.816679837E0,3.259468114E0
1.899874678E2,3.466798733E1,1.353932043E2,1.434448069E1,1.953707338E-1,NaN,4.813339530E0,3.264398811E0
1.909874675E2,3.466802125E1,1.353932065E2,1.347591800E1,2.851887176E0,3.592657390E2,4.807599792E0,3.272846050E0
1.919874669E2,3.466801325E1,1.353931967E2,1.323949043E1,1.092880027E0,3.358927271E2,4.792211594E0,3.295336868E0
1.929874657E2,3.466801193E1,1.353932119E2,1.299384651E1,6.420617835E-1,4.658524295E1,4.789196393E0,3.299717404E0
1.939874648E2,3.466800363E1,1.353932086E2,1.279565508E1,3.234181636E-1,NaN,4.784909060E0,3.305931385E0
1.949874641E2,3.466800114E1,1.353932100E2,1.290926276E1,2.589143046E-1,NaN,4.777060540E0,3.317262370E0
1.959874636E2,3.466799953E1,1.353932038E2,1.302599420E1,3.918165000E-1,NaN,4.773492179E0,3.322395137E0
1.969874626E2,3.466800002E1,1.353932057E2,1.326606634E1,1.971505837E-1,NaN,4.773928500E0,3.321768160E0
1.979874622E2,3.466800155E1,1.353932000E2,1.344213919E1,9.417500978E-2,NaN,4.772040629E0,3.324479698E0
1.989874618E2,3.466799644E1,1.353931988E2,1.376858306E1,2.946249157E-1,NaN,4.771383782E0,3.325422355E0
1.999874609E2,3.466798395E1,1.353932026E2,1.376067175E1,5.767032868E-1,1.549785247E2,4.777000862E0,3.317348308E0
2.009874595E2,3.466799344E1,1.353931988E2,1.390323183E1,5.941867937E-2,NaN,4.773220019E0,3.322786133E0
2.019874597E2,3.466798953E1,1.353931933E2,1.405731900E1,1.962187542E-1,NaN,4.768714621E0,3.329248848E0
2.029874588E2,3.466799222E1,1.353931938E2,1.390238248E1,1.999218909E-1,NaN,4.772875375E0,3.323281163E0
