"Time (s)","Temperature (°C)"
3.727579658E1,2.995312500E1
3.729368721E1,2.992968750E1
3.731158052E1,2.991015625E1
3.732947401E1,2.996875000E1
3.734735982E1,2.995312500E1
3.736526069E1,2.996484375E1
3.738315449E1,2.993750000E1
3.740104805E1,2.998046875E1
3.741893043E1,2.991796875E1
3.743683461E1,2.994921875E1
3.745472822E1,2.996484375E1
3.747260957E1,2.998828125E1
3.749051216E1,2.995312500E1
3.750840858E1,2.997265625E1
3.752630201E1,2.994531250E1
3.754419526E1,2.996484375E1
3.756208034E1,2.998828125E1
3.757998213E1,2.998828125E1
3.759787568E1,2.992968750E1
3.761577229E1,2.992578125E1
3.763366279E1,2.994921875E1
3.765155616E1,2.991015625E1
3.766944972E1,2.994140625E1
3.768734681E1,2.993750000E1
3.770523658E1,2.992968750E1
3.772312977E1,2.992968750E1
3.774102345E1,2.991015625E1
3.775890608E1,2.997656250E1
3.777681025E1,2.993750000E1
3.779470387E1,2.992968750E1
3.781259712E1,2.993750000E1
3.783049092E1,2.992968750E1
3.784838417E1,2.997265625E1
3.786627766E1,2.992578125E1
3.788417109E1,2.994140625E1
3.790206465E1,2.992578125E1
3.791995796E1,2.992187500E1
3.793785145E1,2.993359375E1
3.795574653E1,2.998828125E1
3.797363814E1,2.992578125E1
3.799153200E1,2.990625000E1
3.800942549E1,2.994140625E1
3.802731862E1,2.997265625E1
3.804521486E1,2.995312500E1
3.806310859E1,2.998046875E1
3.808099952E1,2.995312500E1
3.809888380E1,2.999609375E1
3.811678602E1,2.995312500E1
3.813467946E1,2.998046875E1
3.815257301E1,2.998046875E1
3.817045753E1,2.992968750E1
3.818836006E1,2.996484375E1
3.820625343E1,2.992968750E1
3.822414674E1,2.997265625E1
3.824204024E1,2.998046875E1
3.825993391E1,2.998046875E1
3.827782704E1,3.000390625E1
3.829572359E1,3.000390625E1
3.831361396E1,2.998046875E1
3.833149946E1,2.996484375E1
3.834940108E1,3.000390625E1
3.836729445E1,2.993750000E1
3.838518770E1,2.994531250E1
3.840308125E1,2.996484375E1
3.842097456E1,2.992968750E1
3.843885615E1,3.000390625E1
3.845675874E1,2.997265625E1
3.847465529E1,2.996484375E1
3.849254573E1,2.998046875E1
3.851043116E1,2.997265625E1
3.852833540E1,2.999609375E1
3.854622902E1,3.003515625E1
3.856412251E1,2.998046875E1
3.858201582E1,2.995312500E1
3.859990938E1,2.993750000E1
3.861780287E1,2.994531250E1
3.863569929E1,2.998046875E1
3.865358986E1,2.998828125E1
3.867148341E1,2.996484375E1
3.868937690E1,2.992578125E1
3.870726997E1,2.998437500E1
3.872516359E1,3.000390625E1
3.874305708E1,2.998046875E1
3.876095045E1,3.002734375E1
3.877883351E1,2.998828125E1
3.879673420E1,2.996484375E1
3.881463087E1,2.998046875E1
3.883252437E1,2.999609375E1
3.885040602E1,3.000390625E1
3.886831117E1,2.999609375E1
3.888620485E1,3.001171875E1
3.890409810E1,3.005078125E1
3.892199165E1,3.000390625E1
3.893988545E1,2.993750000E1
3.895777864E1,2.997265625E1
3.897567512E1,3.001953125E1
3.899356544E1,2.999609375E1
3.901145894E1,2.995312500E1
3.902935255E1,2.999609375E1
3.904724580E1,2.993750000E1
