"Time (s)","Temperature (°C)"
1.625848179E1,3.132812500E1
1.627637596E1,3.128125000E1
1.629427024E1,3.125390625E1
1.631216429E1,3.126953125E1
1.633004624E1,3.127734375E1
1.634793717E1,3.132031250E1
1.636584690E1,3.130859375E1
1.638374113E1,3.128125000E1
1.640163517E1,3.123437500E1
1.641952952E1,3.128515625E1
1.643742686E1,3.127734375E1
1.645531810E1,3.127734375E1
1.647321196E1,3.130078125E1
1.649110649E1,3.127734375E1
1.650900047E1,3.126171875E1
1.652689768E1,3.128515625E1
1.654478880E1,3.130468750E1
1.656268315E1,3.124609375E1
1.658057762E1,3.130078125E1
1.659847135E1,3.124218750E1
1.661635106E1,3.130078125E1
1.663425999E1,3.129296875E1
1.665215422E1,3.125390625E1
1.667003947E1,3.131250000E1
1.668793089E1,3.128125000E1
1.670582572E1,3.130468750E1
1.672372117E1,3.130859375E1
1.674161576E1,3.129687500E1
1.675950779E1,3.131250000E1
1.677740245E1,3.131640625E1
1.679529045E1,3.131640625E1
1.681319096E1,3.132421875E1
1.683108586E1,3.126562500E1
1.684898307E1,3.128515625E1
1.686688615E1,3.129296875E1
1.688476646E1,3.126953125E1
1.690266233E1,3.127734375E1
1.692056474E1,3.132031250E1
1.693846140E1,3.128125000E1
1.695635594E1,3.132031250E1
1.697424992E1,3.129687500E1
1.699214396E1,3.127734375E1
1.701003929E1,3.127734375E1
1.702792967E1,3.125390625E1
1.704582389E1,3.131250000E1
1.706372117E1,3.129687500E1
1.708161644E1,3.130078125E1
1.709950950E1,3.128515625E1
1.711740354E1,3.126171875E1
1.713529814E1,3.129296875E1
1.715319218E1,3.121093750E1
1.717108616E1,3.125390625E1
1.718898045E1,3.130078125E1
1.720687767E1,3.132031250E1
1.722476908E1,3.130468750E1
1.724266398E1,3.126953125E1
1.726055735E1,3.131250000E1
1.727845134E1,3.130468750E1
1.729634568E1,3.127734375E1
1.731424015E1,3.130078125E1
1.733213426E1,3.130468750E1
1.735003929E1,3.128125000E1
1.736791960E1,3.132812500E1
1.738581687E1,3.129687500E1
1.740371067E1,3.127734375E1
1.742160520E1,3.130468750E1
1.743949870E1,3.130468750E1
1.745739378E1,3.128515625E1
1.747528782E1,3.128515625E1
1.749318217E1,3.132812500E1
1.751107316E1,3.129687500E1
1.752897038E1,3.131250000E1
1.754686772E1,3.129687500E1
1.756475895E1,3.130078125E1
1.758264988E1,3.128515625E1
1.760054734E1,3.132031250E1
1.761844157E1,3.129687500E1
1.763633567E1,3.128515625E1
1.765422996E1,3.126171875E1
1.767212303E1,3.130468750E1
1.769001225E1,3.126562500E1
1.770790959E1,3.130468750E1
1.772580607E1,3.130468750E1
1.774370091E1,3.127734375E1
1.776159489E1,3.129296875E1
1.777948948E1,3.128515625E1
1.779738078E1,3.126953125E1
1.781527806E1,3.130468750E1
1.783317240E1,3.129687500E1
1.785106761E1,3.126953125E1
1.786896067E1,3.132812500E1
1.788685795E1,3.126562500E1
1.790474870E1,3.135156250E1
1.792264073E1,3.132421875E1
1.794052592E1,3.126562500E1
1.795842338E1,3.132812500E1
1.797631449E1,3.131640625E1
1.799421025E1,3.128906250E1
1.801210319E1,3.134375000E1
1.803000096E1,3.130859375E1
1.804789579E1,3.130468750E1
1.806578880E1,3.129296875E1
1.808367948E1,3.125390625E1
1.810157463E1,3.129296875E1
1.811946922E1,3.129296875E1
1.813736418E1,3.128515625E1
1.815525859E1,3.131250000E1
1.817315019E1,3.129687500E1
1.819105217E1,3.133593750E1
1.820893992E1,3.134765625E1
1.822683500E1,3.129687500E1
1.824472715E1,3.126171875E1
1.826262626E1,3.129296875E1
1.828051603E1,3.130468750E1
1.829842277E1,3.128125000E1
1.831630564E1,3.130468750E1
1.833419993E1,3.133984375E1
1.835209245E1,3.128906250E1
1.836999558E1,3.128515625E1
1.838788975E1,3.130468750E1
1.840578636E1,3.128906250E1
1.842368107E1,3.132031250E1
1.844157542E1,3.128906250E1
1.845946458E1,3.129296875E1
1.847735185E1,3.134375000E1
1.849525804E1,3.130468750E1
1.851315257E1,3.133593750E1
1.853104630E1,3.133203125E1
1.854894084E1,3.133203125E1
1.856683799E1,3.133203125E1
1.858471751E1,3.127343750E1
1.860262376E1,3.127734375E1
1.862051780E1,3.131250000E1
1.863841209E1,3.136328125E1
1.865630613E1,3.131640625E1
1.867418846E1,3.128906250E1
1.869208256E1,3.128515625E1
1.870998570E1,3.129296875E1
1.872787992E1,3.132031250E1
1.874577812E1,3.132421875E1
1.876367143E1,3.134765625E1
1.878156541E1,3.132421875E1
1.879945976E1,3.128906250E1
1.881735691E1,3.132812500E1
1.883524821E1,3.130859375E1
1.885313975E1,3.129687500E1
1.887103654E1,3.135156250E1
1.888893095E1,3.128906250E1
1.890682823E1,3.134375000E1
1.892471726E1,3.133203125E1
1.894261357E1,3.133203125E1
1.896050645E1,3.130859375E1
1.897840184E1,3.131640625E1
1.899629612E1,3.132421875E1
1.901419041E1,3.132421875E1
1.903207267E1,3.130859375E1
1.904997569E1,3.130859375E1
1.906786998E1,3.129687500E1
1.908575846E1,3.132031250E1
1.910366160E1,3.132421875E1
1.912155564E1,3.136328125E1
1.913944999E1,3.129687500E1
1.915734428E1,3.131250000E1
1.917522624E1,3.131640625E1
1.919313255E1,3.131640625E1
1.921102677E1,3.133984375E1
1.922892112E1,3.130859375E1
1.924681736E1,3.133984375E1
1.926471171E1,3.133203125E1
1.928260374E1,3.133984375E1
1.930049797E1,3.131640625E1
1.931839207E1,3.128906250E1
1.933628361E1,3.132812500E1
1.935418070E1,3.135546875E1
1.937206272E1,3.136328125E1
1.938996720E1,3.128906250E1
1.940786198E1,3.126171875E1
1.942574998E1,3.128515625E1
1.944365159E1,3.132031250E1
1.946154307E1,3.132421875E1
1.947944016E1,3.129687500E1
1.949733445E1,3.130468750E1
1.951522874E1,3.136328125E1
1.953312309E1,3.132421875E1
1.955101682E1,3.132421875E1
1.956891282E1,3.131640625E1
1.958679362E1,3.133203125E1
1.960469975E1,3.132421875E1
1.962259397E1,3.133203125E1
1.964048826E1,3.127343750E1
1.965837931E1,3.131250000E1
1.967627952E1,3.134765625E1
1.969417063E1,3.130859375E1
1.971206364E1,3.133984375E1
1.972995500E1,3.130859375E1
1.974784953E1,3.132421875E1
1.976574778E1,3.132421875E1
1.978364207E1,3.130859375E1
1.980154051E1,3.137109375E1
1.981941667E1,3.128906250E1
1.983730998E1,3.130468750E1
1.985520799E1,3.131640625E1
1.987310093E1,3.133203125E1
1.989099443E1,3.126562500E1
1.990889048E1,3.128515625E1
1.992678105E1,3.127734375E1
1.994468052E1,3.128515625E1
1.996257359E1,3.133593750E1
1.998046653E1,3.132421875E1
1.999836131E1,3.132421875E1
2.001625724E1,3.135546875E1
2.003415330E1,3.137109375E1
2.005205302E1,3.131640625E1
2.006993675E1,3.131640625E1
2.008783439E1,3.131640625E1
2.010572770E1,3.133203125E1
2.012362089E1,3.132421875E1
2.014152989E1,3.132421875E1
2.015941886E1,3.131640625E1
2.017731492E1,3.130859375E1
2.019519694E1,3.132421875E1
2.021310325E1,3.130859375E1
2.023099729E1,3.136328125E1
2.024889158E1,3.132421875E1
2.026679014E1,3.132421875E1
2.028467973E1,3.139062500E1
