"Time (s)","Temperature (°C)"
5.706450968E1,3.231640625E1
5.708240470E1,3.233984375E1
5.710029917E1,3.229687500E1
5.711819419E1,3.229296875E1
5.713608890E1,3.230078125E1
5.715397177E1,3.228515625E1
5.717186472E1,3.230078125E1
5.718977555E1,3.232812500E1
5.720767087E1,3.230859375E1
5.722556266E1,3.227734375E1
5.724345737E1,3.234375000E1
5.726134928E1,3.225390625E1
5.727924692E1,3.230468750E1
5.729714176E1,3.231640625E1
5.731503653E1,3.230859375E1
5.733293125E1,3.232421875E1
5.735082230E1,3.233203125E1
5.736872086E1,3.235546875E1
5.738661576E1,3.230468750E1
5.740451017E1,3.227343750E1
5.742240500E1,3.231250000E1
5.744029990E1,3.232421875E1
5.745819443E1,3.230468750E1
5.747608921E1,3.230078125E1
5.749397208E1,3.230468750E1
5.751186405E1,3.226171875E1
5.752977384E1,3.231250000E1
5.754766751E1,3.231640625E1
5.756556314E1,3.226953125E1
5.758344321E1,3.230078125E1
5.760134976E1,3.231250000E1
5.761923239E1,3.230859375E1
5.763714194E1,3.227734375E1
5.765503678E1,3.227343750E1
5.767293418E1,3.226562500E1
5.769082657E1,3.234375000E1
5.770872110E1,3.229687500E1
5.772661588E1,3.230078125E1
5.774450760E1,3.230078125E1
5.776240549E1,3.227343750E1
5.778030014E1,3.234375000E1
5.779819498E1,3.232421875E1
5.781608976E1,3.229687500E1
5.783397251E1,3.228515625E1
5.785186448E1,3.234375000E1
5.786977555E1,3.230859375E1
5.788766806E1,3.232421875E1
5.790556363E1,3.230859375E1
5.792345841E1,3.228906250E1
5.794135318E1,3.231250000E1
5.795924796E1,3.234765625E1
5.797714273E1,3.232421875E1
5.799503720E1,3.227734375E1
5.801293198E1,3.232031250E1
5.803082682E1,3.233984375E1
5.804872153E1,3.232421875E1
5.806661637E1,3.229687500E1
5.808449778E1,3.228515625E1
5.810239432E1,3.230078125E1
5.812028952E1,3.231250000E1
5.813819834E1,3.230859375E1
5.815608994E1,3.228906250E1
5.817397312E1,3.232812500E1
5.819186478E1,3.228906250E1
5.820977842E1,3.230468750E1
5.822766764E1,3.226171875E1
5.824555234E1,3.229296875E1
5.826345865E1,3.232031250E1
5.828135337E1,3.232421875E1
5.829924820E1,3.230859375E1
5.831714273E1,3.228906250E1
5.833503775E1,3.229296875E1
5.835292960E1,3.231250000E1
5.837081516E1,3.228906250E1
5.838871036E1,3.230468750E1
5.840660593E1,3.230859375E1
5.842451133E1,3.227734375E1
5.844240622E1,3.230078125E1
5.846030118E1,3.232031250E1
5.847819590E1,3.233203125E1
5.849607553E1,3.230468750E1
5.851397330E1,3.225000000E1
5.853186826E1,3.230468750E1
5.854977176E1,3.234765625E1
5.856766898E1,3.233984375E1
5.858556150E1,3.228906250E1
5.860346207E1,3.228515625E1
5.862135392E1,3.230078125E1
5.863924863E1,3.225000000E1
5.865713321E1,3.233593750E1
5.867502658E1,3.226953125E1
5.869292112E1,3.231250000E1
5.871081638E1,3.234765625E1
5.872871854E1,3.229687500E1
5.874660727E1,3.230468750E1
5.876450290E1,3.230859375E1
5.878239530E1,3.232421875E1
5.880029300E1,3.229687500E1
5.881818570E1,3.229296875E1
5.883608054E1,3.230078125E1
5.885397330E1,3.232031250E1
5.887186783E1,3.232421875E1
5.888976627E1,3.226953125E1
5.890765909E1,3.229296875E1
5.892555783E1,3.226562500E1
5.894344828E1,3.224218750E1
5.896134372E1,3.225000000E1
5.897923990E1,3.230078125E1
5.899713401E1,3.231250000E1
5.901502848E1,3.232421875E1
5.903292569E1,3.231640625E1
5.905082633E1,3.230859375E1
5.906871329E1,3.232421875E1
5.908660520E1,3.230468750E1
5.910450504E1,3.228515625E1
5.912241007E1,3.230078125E1
5.914030161E1,3.232031250E1
5.915819669E1,3.234765625E1
5.917609146E1,3.229687500E1
5.919397428E1,3.230078125E1
5.921186594E1,3.232812500E1
5.922977530E1,3.228906250E1
5.924767014E1,3.229296875E1
5.926556534E1,3.233593750E1
5.928346012E1,3.231640625E1
5.930135489E1,3.229687500E1
5.931924942E1,3.236718750E1
5.933714420E1,3.231640625E1
5.935503891E1,3.232421875E1
5.937293430E1,3.233984375E1
5.939082846E1,3.234765625E1
5.940872330E1,3.240234375E1
5.942661808E1,3.233203125E1
5.944451254E1,3.230859375E1
5.946238626E1,3.233203125E1
5.948030240E1,3.230859375E1
5.949819773E1,3.232421875E1
5.951609195E1,3.233984375E1
5.953397470E1,3.233203125E1
5.955186643E1,3.232421875E1
5.956977591E1,3.232421875E1
5.958765897E1,3.230468750E1
5.960556577E1,3.232031250E1
5.962346036E1,3.237890625E1
5.964135520E1,3.229687500E1
5.965924985E1,3.230078125E1
5.967714469E1,3.232031250E1
5.969503940E1,3.230468750E1
5.971293875E1,3.232031250E1
5.973082926E1,3.230468750E1
5.974872354E1,3.232812500E1
5.976661850E1,3.230859375E1
5.978451334E1,3.232421875E1
5.980240976E1,3.233984375E1
5.982030283E1,3.233203125E1
5.983819760E1,3.232421875E1
5.985609220E1,3.232421875E1
5.987397416E1,3.233203125E1
5.989186698E1,3.228906250E1
5.990977604E1,3.230468750E1
5.992767423E1,3.231640625E1
5.994556607E1,3.231640625E1
5.996344718E1,3.230468750E1
5.998135562E1,3.231250000E1
5.999924503E1,3.230468750E1
6.001714524E1,3.233593750E1
6.003503989E1,3.233203125E1
