"Time (s)","Temperature (°C)"
1.800329462E1,2.594921875E1
1.802118598E1,2.596875000E1
1.803907715E1,2.596875000E1
1.805696851E1,2.592187500E1
1.807485981E1,2.596093750E1
1.809275092E1,2.593359375E1
1.811064203E1,2.594921875E1
1.812853339E1,2.592968750E1
1.814642627E1,2.588671875E1
1.816431586E1,2.593750000E1
1.818219525E1,2.592187500E1
1.820008368E1,2.591015625E1
1.821798682E1,2.592578125E1
1.823588428E1,2.594531250E1
1.825377246E1,2.590625000E1
1.827166358E1,2.595312500E1
1.828955780E1,2.594921875E1
1.830744599E1,2.593359375E1
1.832533734E1,2.597656250E1
1.834322852E1,2.592968750E1
1.836112006E1,2.590234375E1
1.837901129E1,2.592578125E1
1.839690558E1,2.593750000E1
1.841479389E1,2.600000000E1
1.843268494E1,2.594140625E1
1.845057617E1,2.596875000E1
1.846846466E1,2.593359375E1
1.848635895E1,2.592187500E1
1.850425025E1,2.591796875E1
1.852213361E1,2.593750000E1
1.854003278E1,2.591406250E1
1.855790790E1,2.596093750E1
1.857581794E1,2.595703125E1
1.859370648E1,2.596875000E1
1.861159784E1,2.600000000E1
1.862948902E1,2.594921875E1
1.864738037E1,2.590625000E1
1.866527167E1,2.593750000E1
1.868316284E1,2.593359375E1
1.870105420E1,2.597656250E1
1.871894556E1,2.592968750E1
1.873684076E1,2.591015625E1
1.875472791E1,2.593750000E1
1.877261914E1,2.592968750E1
1.879051026E1,2.591015625E1
1.880840180E1,2.591015625E1
1.882629315E1,2.593359375E1
1.884418329E1,2.594531250E1
1.886207556E1,2.592968750E1
1.887996393E1,2.593359375E1
1.889785675E1,2.592578125E1
1.891575214E1,2.593359375E1
1.893364057E1,2.592578125E1
1.895151782E1,2.596093750E1
1.896940259E1,2.592187500E1
1.898731446E1,2.591796875E1
1.900520575E1,2.596093750E1
1.902309686E1,2.596875000E1
1.904097242E1,2.592968750E1
1.905887964E1,2.591015625E1
1.907677460E1,2.597265625E1
1.909466205E1,2.592968750E1
1.911255054E1,2.593750000E1
