"Time (s)","X (hPa)"
1.650508242E2,1.008839645E3
1.661258182E2,1.008837814E3
1.672007802E2,1.008835907E3
1.682758282E2,1.008834229E3
1.693508602E2,1.008834229E3
1.704258272E2,1.008836136E3
1.715008152E2,1.008837967E3
1.725758702E2,1.008840714E3
1.736509152E2,1.008843002E3
1.747258892E2,1.008845901E3
1.758008962E2,1.008846588E3
1.768759202E2,1.008848724E3
1.779509492E2,1.008848877E3
1.790260012E2,1.008848724E3
1.801010162E2,1.008848724E3
1.811759642E2,1.008848724E3
1.822509932E2,1.008850555E3
1.833260032E2,1.008852081E3
1.844009872E2,1.008852463E3
1.854759932E2,1.008852463E3
1.865509642E2,1.008852463E3
1.876259472E2,1.008850174E3
1.887008842E2,1.008846817E3
1.897758202E2,1.008845978E3
1.908507612E2,1.008845062E3
1.919257062E2,1.008844910E3
1.930006812E2,1.008844757E3
1.940756292E2,1.008844757E3
1.951505382E2,1.008843842E3
1.962254272E2,1.008842239E3
1.973003722E2,1.008840027E3
1.983752862E2,1.008837280E3
1.994501952E2,1.008834229E3
2.005251152E2,1.008831863E3
2.016000552E2,1.008829346E3
2.026749872E2,1.008825912E3
2.037499662E2,1.008821182E3
2.048249132E2,1.008817749E3
2.058999162E2,1.008815689E3
2.069748982E2,1.008815689E3
2.080498692E2,1.008815842E3
2.091248272E2,1.008819046E3
2.101997712E2,1.008823013E3
2.112746522E2,1.008828888E3
2.123495732E2,1.008834991E3
2.134245432E2,1.008841171E3
2.144995682E2,1.008844757E3
2.155745152E2,1.008849335E3
2.166494812E2,1.008849945E3
2.177244382E2,1.008850174E3
2.187994162E2,1.008850174E3
2.198743962E2,1.008849564E3
2.209493472E2,1.008849335E3
2.220243022E2,1.008849335E3
2.230993312E2,1.008851242E3
2.241743192E2,1.008853760E3
2.252493052E2,1.008856277E3
2.263242882E2,1.008857346E3
2.273992792E2,1.008857346E3
2.284742592E2,1.008855209E3
2.295492282E2,1.008852463E3
2.306241792E2,1.008849487E3
2.316991572E2,1.008846436E3
2.327740772E2,1.008843231E3
2.338490192E2,1.008842392E3
2.349239422E2,1.008840866E3
2.359988552E2,1.008840866E3
2.370738462E2,1.008840866E3
2.381487862E2,1.008842010E3
2.392237812E2,1.008843002E3
2.402987282E2,1.008843002E3
2.413736652E2,1.008842010E3
2.424487322E2,1.008839874E3
2.435237942E2,1.008836136E3
2.445987712E2,1.008830032E3
2.456737642E2,1.008824768E3
2.467487242E2,1.008812943E3
2.478237452E2,1.008804016E3
2.488988032E2,1.008799210E3
2.499737662E2,1.008795395E3
2.510487282E2,1.008795395E3
2.521237102E2,1.008797607E3
2.531986702E2,1.008800507E3
2.542736812E2,1.008803406E3
2.553486962E2,1.008805313E3
2.564236782E2,1.008807449E3
2.574987102E2,1.008811798E3
2.585737252E2,1.008814163E3
2.596488082E2,1.008817978E3
2.607238012E2,1.008822403E3
2.617988332E2,1.008825912E3
2.628738682E2,1.008829803E3
2.639488792E2,1.008831863E3
2.650239102E2,1.008834000E3
2.660989702E2,1.008836975E3
2.671739812E2,1.008838806E3
2.682490192E2,1.008839645E3
2.693240372E2,1.008841782E3
2.703990932E2,1.008843613E3
2.714741472E2,1.008843918E3
2.725491702E2,1.008843918E3
2.736241682E2,1.008844223E3
2.746991302E2,1.008844452E3
2.757741012E2,1.008844452E3
2.768490672E2,1.008844452E3
2.779240842E2,1.008843384E3
2.789991622E2,1.008840714E3
2.800741202E2,1.008837128E3
2.811490692E2,1.008833084E3
2.822240322E2,1.008826828E3
2.832990312E2,1.008823929E3
2.843739832E2,1.008822556E3
2.854489352E2,1.008822556E3
2.865239312E2,1.008822861E3
2.875989122E2,1.008824692E3
2.886739182E2,1.008825912E3
2.897488672E2,1.008828049E3
2.908238712E2,1.008828125E3
2.918988612E2,1.008828125E3
2.929737822E2,1.008828049E3
2.940486972E2,1.008826828E3
2.951236102E2,1.008825073E3
2.961985022E2,1.008819885E3
2.972734492E2,1.008817062E3
2.983483572E2,1.008813095E3
2.994232962E2,1.008807220E3
3.004982372E2,1.008800964E3
3.015731362E2,1.008796463E3
3.026480802E2,1.008794022E3
3.037229592E2,1.008794022E3
3.047978412E2,1.008795624E3
3.058727362E2,1.008798981E3
3.069476572E2,1.008804245E3
3.080226192E2,1.008808441E3
